district,lat_cen,long_cen
1,13.095760101164233,-59.60798989902843
4,13.104386111074025,-59.61515000008544
7,13.102758333325383,-59.61644444444528
9,13.102444444453274,-59.61901851852735
13,13.122625000052983,-59.627713888910094
17,13.130844444380866,-59.631041666560705
20,13.122703703656606,-59.62535493827161
23,13.110583333356512,-59.59325694455041
26,13.099518518624484,-59.60616203709885
30,13.115858333312804,-59.620763888915384
33,13.114608024550073,-59.619157407416246
35,13.12213333331214,-59.611933333396905
39,13.126458333333334,-59.61395833333333
42,13.129811111132303,-59.61887222222488
44,13.12494722223282,-59.62079722224341
46,13.125296296308072,-59.62317901234568
50,13.12298333337572,-59.617833333240625
53,13.11901666669051,-59.61169999991523
55,13.125613095235256,-59.6030238095257
58,13.118097222275205,-59.595741666634865
61,13.134249999994113,-59.60662962966496
65,13.1359191919216,-59.608737373689216
68,13.130564102566138,-59.61520512821836
70,13.138358024785548,-59.62212345670772
71,13.14252314823645,-59.6221851851322
75,13.137558333290945,-59.60408055557146
77,13.143287037037036,-59.60145987658958
82,13.13915509265882,-59.590284722292864
84,13.134203703697818,-59.590675925914155
91,13.106808333237968,-59.615019444508064
93,13.110203703421133,-59.61244444423252
97,13.116802083171077,-59.615576388968364
100,13.113626262587728,-59.61083585864366
104,13.11099722226461,-59.6076638888783
107,13.113194444444446,-59.60449999994702
109,13.11516919199509,-59.60331565655842
112,13.107291666666665,-59.61159722222222
115,13.110577160576243,-59.60459876549097
119,13.110472222328188,-59.59218333329095
122,13.104367283980052,-59.593604938306925
124,13.1003361111066,-59.60636944447624
127,13.100732638897993,-59.60295138888889
130,13.098047222243414,-59.60449722218514
133,13.089089506172842,-59.5948055555791
135,13.103145061746057,-59.59618209885962
137,13.106850694351724,-59.5833576387167
139,13.099802777787051,-59.59405000003179
142,13.08923989902843,-59.59873232302039
145,13.084461111159788,-59.59993611112899
147,13.08578333333466,-59.602349999984106
152,13.08639814817611,-59.59353086424463
153,13.102787037138585,-59.58059722223768
155,13.096805555555557,-59.59067777776719
157,13.098465811982114,-59.58202136757026
161,13.097088889016046,-59.58778888895777
163,13.094919753133517,-59.58163271597875
166,13.101413889037238,-59.5883444444471
169,13.107357638941869,-59.584326388869016
171,13.109886111047535,-59.583905555438676
174,13.091869047482808,-59.596646825396824
177,13.104452380982655,-59.5741309523961
179,13.112829365049091,-59.57635317461832
182,13.079550000190732,-59.60154444443517
184,13.078744444741142,-59.59960555530133
187,13.07773148148148,-59.593009259259254
189,13.08795634920635,-59.587321428628194
190,13.084030864225863,-59.58661728405658
191,13.08595959599572,-59.590767676613545
194,13.089166666666667,-59.58198412698413
195,13.087725000063577,-59.57944444476234
199,13.074932539576576,-59.583869047538634
202,13.070880952335537,-59.5737420635564
204,13.077633333206176,-59.57740555551317
205,13.091550505095057,-59.54903282815761
209,13.082106481658087,-59.57084722223106
211,13.073541666666666,-59.563097222116255
212,13.078425000084769,-59.56920833354525
214,13.083549382668217,-59.554796296321314
216,13.072350694404708,-59.55374652778109
218,13.076537037160662,-59.55456944443561
220,13.069702020185163,-59.54104545448765
223,13.074301587437827,-59.54805158721076
226,13.071572222206324,-59.56279444440204
228,13.067636111100512,-59.552463888913394
230,13.087308641892895,-59.57349382706631
232,13.08803703701055,-59.56766203700669
235,13.105212962965908,-59.534700617348705
237,13.07293055554231,-59.54172222216924
238,13.069919444441794,-59.541711111174685
240,13.075848765490967,-59.54250925923571
241,13.07659876540855,-59.54200617283951
242,13.080090277989706,-59.544763889047836
245,13.077902777671813,-59.54765833333342
247,13.066913888990879,-59.53829999993907
248,13.075100000103314,-59.535711111115084
250,13.074158333271743,-59.52369444444444
253,13.06983611103561,-59.52685000001058
255,13.073330246784069,-59.51754938266895
256,13.075009259294582,-59.518972222323036
259,13.09277430560854,-59.50508333328697
261,13.077583333424158,-59.52097619056701
263,13.110322222241098,-59.51500833331214
267,13.086372222211626,-59.51228888882531
269,13.080539,-59.506739
272,13.049703703743441,-59.52528240738091
274,13.05473412695385,-59.527849206470314
275,13.053694444409123,-59.52159259261909
277,13.051682539686324,-59.517765872989386
278,13.05454629633162,-59.51465740733676
280,13.052740740761347,-59.5114876542268
283,13.059603174603174,-59.50654761904762
287,13.055549999952316,-59.53024166647593
289,13.050549999992052,-59.52493333323797
292,13.059266666624282,-59.52933333333333
294,13.060661111017069,-59.53394444440139
297,13.113216666618982,-59.56847777787844
300,13.127677777820164,-59.53626388884915
301,13.131183333377043,-59.53571666661567
303,13.135631944504048,-59.51643055559032
304,13.135605555560852,-59.5130527777142
307,13.134083333169974,-59.537643518492025
309,13.155236111172924,-59.52631018514987
311,13.143833333391697,-59.5477805554072
314,13.13252777762619,-59.54396604926498
316,13.12872839503818,-59.56668827167263
318,13.136547222216924,-59.557505555523754
319,13.140089583317437,-59.54936249999702
321,13.129270833267109,-59.57323958337307
323,13.14097777777248,-59.56825555545362
325,13.145845679059441,-59.56590432101561
326,13.15054012339792,-59.55780555566152
328,13.155845679059441,-59.55726543220472
330,13.155385802528006,-59.547268518658335
333,13.15618650799706,-59.56501587307641
334,13.153425000071527,-59.559130555682714
336,13.121883333312141,-59.50316111112966
338,13.137213888969686,-59.49162222215864
342,13.144044444455039,-59.49008333330685
343,13.154901234514918,-59.471567901328754
345,13.14316388877233,-59.46936666675409
347,13.174921296305124,-59.471805555577625
348,13.165438889000152,-59.45386111117733
350,13.162522222306995,-59.44016388893624
352,13.13811111111111,-59.47190833335452
356,13.144222222328185,-59.433961110976
357,13.099408333351215,-59.48784444451333
359,13.118843434344639,-59.48042424224844
360,13.12116666662693,-59.47867777782017
363,13.085408333407509,-59.4698027778003
365,13.093209595993313,-59.46723737374702
366,13.09284375011921,-59.46211111095217
369,13.101830246922455,-59.462061728459815
371,13.094938888761735,-59.468108333345924
373,13.102493055569079,-59.46780324071991
374,13.108031746092296,-59.470277777815625
376,13.110358024703132,-59.4695925926132
378,13.105516666650772,-59.451488888866365
380,13.108855555640327,-59.45467777782015
384,13.126236111005147,-59.438433333343916
388,13.122024999968213,-59.442284999910996
390,13.120255050481006,-59.445659090966885
393,13.135225308684653,-59.43541666668138
396,13.145381944278878,-59.43038541661368
398,13.18998611115747,-59.51845833321412
399,13.196416666684328,-59.494581018597984
400,13.18099166668786,-59.48729999987283
402,13.18783024698128,-59.49692283951942
403,13.190732638902135,-59.50461111107634
404,13.193293209782352,-59.51304012333906
405,13.179266666624281,-59.52355833342341
407,13.188935185185182,-59.528657407407415
410,13.171827160458506,-59.516530864205635
411,13.180802777926127,-59.50166944447492
412,13.143516666677263,-59.501377777649296
413,13.162891975332192,-59.48911111114938
415,13.178546666526794,-59.460743333371475
416,13.17889814818347,-59.48144135798201
418,13.166755555576747,-59.47837500015895
419,13.225114197491862,-59.620314814797894
421,13.20121064821879,-59.610770833315684
423,13.224928571458847,-59.63698015871502
425,13.216891666721967,-59.6375694445173
428,13.211691919191917,-59.63765909093197
432,13.204863888846504,-59.60890277777778
434,13.214222222222222,-59.61638888888889
436,13.204408333381014,-59.605094444420615
438,13.205317901353823,-59.62437654318634
440,13.184024691309459,-59.62604629622566
444,13.16261111129949,-59.634932098800746
447,13.14958333339294,-59.63302777801289
449,13.159027777777778,-59.631097222169245
451,13.154175925961248,-59.6286157408467
452,13.156774691358024,-59.626858024479425
455,13.152048611028327,-59.62322916660044
460,13.149055555736776,-59.628787878691554
461,13.140107142887418,-59.6281230157519
463,13.154935185143977,-59.62150925915918
464,13.159072916706403,-59.620930555578724
465,13.156343434314534,-59.62044191924008
468,13.147224747436217,-59.61783585864035
470,13.160711111068725,-59.626472222063285
473,13.16164444446564,-59.615575000021195
476,13.151990740721423,-59.6363425925926
477,13.137432098811791,-59.637768518542075
480,13.148731481381406,-59.60791975315706
481,13.146512345561273,-59.60334876546153
482,13.154273809591928,-59.60328968256239
483,13.14979761901356,-59.6044404761375
484,13.158100000010597,-59.61162777778837
486,13.15950308634911,-59.602330246913574
488,13.157425000084771,-59.612130555576755
489,13.179351851616376,-59.61643209881254
491,13.188330246901806,-59.60028086419459
493,13.193371527459886,-59.596104166905086
495,13.195233333296247,-59.57748611132304
496,13.191732323121544,-59.58718686879283
497,13.203517360952164,-59.583315972156
499,13.160840909023477,-59.59902777766641
501,13.14914351841366,-59.598717592634536
502,13.15116666659897,-59.59896913587311
503,13.129694444379874,-59.59231944428551
505,13.157824074177096,-59.58307098768377
506,13.187788888838558,-59.57416666661369
508,13.180847222010293,-59.56665740746039
510,13.182456790046926,-59.5493209876787
511,13.196908730249557,-59.54865079361294
512,13.193630555523768,-59.54151944430669
513,13.182852777745987,-59.54015833335452
514,13.209919444508023,-59.5220833333201
515,13.211638888871226,-59.52672916672847
516,13.20848290591158,-59.540722222205915
517,13.23165909085611,-59.549138888946985
518,13.209953703703704,-59.54412037037037
519,13.236967171659375,-59.56125252550298
521,13.193822916646798,-59.55586111091077
522,13.250444444497427,-59.569227777693
523,13.241477777745988,-59.55637500002649
524,13.20398055576616,-59.55363611110052
526,13.213380952382845,-59.59158730166299
527,13.243563131419096,-59.56515656556746
528,13.248833333121405,-59.569277777671815
529,13.203981481481481,-59.571222222328274
530,13.266743055449592,-59.57864236119721
531,13.251604166701435,-59.579802083339956
532,13.232277777754895,-59.59202777794514
534,13.26567222213745,-59.637033333341286
536,13.268854166666667,-59.62363194445769
537,13.269144444439146,-59.643319444391466
538,13.247466049370942,-59.639015432169394
540,13.247511904731628,-59.640269841239565
541,13.2456234567548,-59.63616358038819
543,13.255376984202673,-59.63924603167034
544,13.253854166633554,-59.64109027783077
548,13.229768518400782,-59.6261604938978
550,13.258803030216331,-59.62608585864607
551,13.242511111087268,-59.61749722216196
553,13.251117283878504,-59.60210185176428
555,13.27042708337307,-59.612947916620314
556,13.281974999911256,-59.583461111174685
557,13.286797619075587,-59.58652777765597
558,13.290146825275725,-59.57950396840535
561,13.277916666666668,-59.64652777777778
563,13.281027777838329,-59.64698809532892
564,13.283870370408268,-59.643867283927065
566,13.290549999809267,-59.639963333193464
567,13.318408730181437,-59.639817460302325
569,13.322666666713763,-59.63449074072533
570,13.320811728430384,-59.61277777775432
571,13.324958333386315,-59.60517222215235
573,13.292930555608539,-59.6336111108462
575,13.290009259312518,-59.61613425931446
576,13.302641975320418,-59.60805864186935
577,13.298144444445768,-59.60662222217851
578,13.299833333392938,-59.588243055343625
581,13.303097222116257,-59.58222916657312
582,13.31876111111707,-59.60050555551136
